4208	11.0	27.0	F	F
4310	11.0	13.0	F	F
4444	11.0	10.0	F	F
3022	12.0	8.0	FJK	FJK
3094	12.0	12.0	FJ	FJ
3096	12.0	12.0	FJK	FJK
3114	12.0	19.0	FJK	FJK
3126	12.0	30.0	FJK	FJK
3201	12.0	7.0	FJK	FJK
3425	12.0	72.0	FJK	FJK
3634	12.0	12.0	F	F
3794	12.0	12.0	FJK	FJK
3898	12.0	8.0	FJK	FJK
3925	12.0	12.0	F	F
4132	12.0	7.0	F	F
4221	12.0	458.0	F	F
4233	12.0	12.0	F	F
4305	12.0	12.0	U	U
4381	12.0	10.0	F	F
4421	12.0	12.0	FJ	FJ
4483	12.0	12.0	FJK	FJK
4505	12.0	12.0	F	F
3334	13.0	13.0	F	F
3805	13.0	11.0	F	F
3845	13.0	1.0	FJK	FJK
3885	13.0	14.0	BCELR	BCELR
4278	13.0	14.0	F	F
4552	13.0	14.0	F	F
4570	13.0	11.0	FJK	FJK
3010	14.0	14.0	FJK	FJK
3329	14.0	12.0	FJK	FJK
3435	14.0	20.0	FJK	FJK
3792	14.0	10.0	FJK	FJK
3857	14.0	14.0	FJK	FJK
3950	14.0	14.0	N	N
4400	14.0	12.0	F	F
4521	14.0	14.0	FJK	FJK
3130	15.0	25.0	FJK	FJK
3190	15.0	15.0	FJK	FJK
3548	15.0	15.0	N	N
3764	15.0	1885.0	FJK	FJK
3770	15.0	15.0	FJ	FJ
3842	15.0	10.0	FJK	FJK
4090	15.0	14.0	F	F
4224	15.0	15.0	F	F
4373	15.0	15.0	F	F
4407	15.0	11.0	F	F
4571	15.0	20.0	FJK	FJK
3110	16.0	12.0	FJ	FJ
3205	16.0	16.0	FJK	FJK
3208	16.0	32.0	FJ	FJ
3229	16.0	16.0	FJ	FJ
3313	16.0	18.0	FJK	FJK
3351	16.0	12.0	FJK	FJK
3803	16.0	16.0	FJK	FJK
3903	16.0	16.0	F	F
4052	16.0	13.0	F	F
4235	16.0	16.0	F	F
4314	16.0	16.0	FJK	FJK
4379	16.0	17.0	FJK	FJK
4392	16.0	22.0	FK	FK
4500	16.0	12.0	FJK	FJK
4576	16.0	12.0	FJK	FJK
4602	16.0	16.0	FJK	FJK
3272	17.0	13.0	FJK	FJK
3601	17.0	27.0	F	F
3708	17.0	15.0	F	F
3946	17.0	76.0	FJK	FJK
4191	17.0	15.0	F	F
4205	17.0	19.0	F	F
4211	17.0	16.0	F	F
3066	18.0	36.0	FJK	FJK
3198	18.0	11.0	FJK	FJK
3352	18.0	11.0	FJK	FJK
3426	18.0	15.0	FJK	FJK
3871	18.0	26.0	FJK	FJK
3901	18.0	18.0	BCELR	BCELR
3902	18.0	18.0	FJK	FJK
3911	18.0	21.0	FJ	FJ
3912	18.0	50.0	FJK	FJK
3960	18.0	128.0	FJK	FJK
4097	18.0	18.0	F	F
4114	18.0	18.0	F	F
4201	18.0	15.0	F	F
4350	18.0	26.0	U	U
4415	18.0	27.0	FJK	FJK
4519	18.0	18.0	FJK	FJK
4557	18.0	14.0	FJK	FJK
4567	18.0	18.0	FJK	FJK
3152	19.0	276.0	FJK	FJK
3199	19.0	11.0	FJK	FJK
3600	19.0	84.0	F	F
4129	19.0	19.0	F	F
3185	20.0	20.0	FJK	FJK
3233	20.0	20.0	FJK	FJK
3386	20.0	10.0	FJK	FJK
3390	20.0	10.0	FJK	FJK
3649	20.0	1246.0	F	F
3655	20.0	18.0	F	F
3688	20.0	3194.0	H	H
3690	20.0	3194.0	H	H
3740	20.0	3194.0	H	H
3965	20.0	16.0	FJK	FJK
4077	20.0	20.0	F	F
4136	20.0	32.0	F	F
4386	20.0	17.0	U	U
4594	20.0	40.0	FJK	FJK
3053	21.0	30.0	FJK	FJK
3061	21.0	24.0	FJK	FJK
3137	21.0	4.0	FJK	FJK
3660	21.0	18.0	N	N
3661	21.0	18.0	N	N
3662	21.0	18.0	N	N
3663	21.0	18.0	N	N
3809	21.0	21.0	F	F
3860	21.0	10.0	FJ	FJ
3913	21.0	21.0	FJ	FJ
4499	21.0	135.0	FJK	FJK
3881	22.0	21.0	FJK	FJK
3889	22.0	22.0	U	U
4203	22.0	18.0	F	F
4422	22.0	22.0	FJK	FJK
4540	22.0	22.0	FJK	FJK
3650	23.0	1710.0	F	F
3821	23.0	5.0	CELR	CELR
4190	23.0	23.0	F	F
4596	23.0	19.0	FJK	FJK
4599	23.0	17.0	FJK	FJK
3030	24.0	18.0	FJK	FJK
3039	24.0	24.0	FJ	FJ
3184	24.0	24.0	FJK	FJK
3271	24.0	32.0	FJK	FJK
3397	24.0	34.0	FJK	FJK
3398	24.0	34.0	FJK	FJK
3399	24.0	34.0	FJK	FJK
3400	24.0	15.0	FJK	FJK
3525	24.0	24.0	N	N
3654	24.0	64.0	F	F
3869	24.0	40.0	FJK	FJK
3888	24.0	30.0	BCELR	BCELR
3892	24.0	18.0	FJK	FJK
3942	24.0	6.0	FJK	FJK
4294	24.0	24.0	FJ	FJ
4536	24.0	21.0	FJK	FJK
4575	24.0	20.0	FJK	FJK
3287	25.0	40.0	FJK	FJK
3432	25.0	24.0	FJK	FJK
3433	25.0	24.0	FJK	FJK
3434	25.0	24.0	FJK	FJK
3754	25.0	3260.0	H	H
3841	25.0	45.0	FJ	FJ
3930	25.0	12.0	FJK	FJK
4076	25.0	25.0	F	F
4142	25.0	24.0	F	F
4428	25.0	25.0	FJK	FJK
3297	26.0	45.0	FJK	FJK
3368	26.0	20.0	FJK	FJK
4082	26.0	26.0	F	F
4159	26.0	25.0	F	F
4279	26.0	21.0	F	F
4513	26.0	18.0	FJK	FJK
4579	26.0	28.0	F	F
3006	27.0	36.0	N	N
3326	27.0	24.0	FJK	FJK
3484	27.0	27.0	FJK	FJK
3669	27.0	27.0	N	N
3814	27.0	13.0	FJK	FJK
4425	27.0	16.0	FJK	FJK
3157	28.0	21.0	FJ	FJ
3380	28.0	28.0	F	F
3382	28.0	60.0	FJK	FJK
3389	28.0	35.0	FJK	FJK
3402	28.0	16.0	FJK	FJK
3818	28.0	99.0	FJK	FJK
4304	28.0	28.0	FJK	FJK
4431	28.0	32.0	FJK	FJK
3101	29.0	21.0	FJK	FJK
3379	29.0	7.0	CELR	CELR
3639	29.0	25.0	F	F
4151	29.0	40.0	F	F
4202	29.0	29.0	F	F
3085	30.0	15.0	F	F
3144	30.0	40.0	FJK	FJK
3170	30.0	18.0	FJK	FJK
3385	30.0	28.0	FJK	FJK
3394	30.0	30.0	F	F
3674	30.0	238.0	FJ	FJ
3835	30.0	25.0	FJK	FJK
3906	30.0	54.0	FJK	FJK
3940	30.0	30.0	FJ	FJ
4143	30.0	30.0	F	F
4184	30.0	30.0	U	U
4200	30.0	30.0	F	F
4517	30.0	28.0	FJK	FJK
4601	30.0	24.0	F	F
3615	31.0	22.0	F	F
3651	31.0	126.0	F	F
3949	31.0	31.0	FJK	FJK
4148	31.0	31.0	F	F
3378	32.0	20.0	FJK	FJK
3545	32.0	21.0	F	F
3640	32.0	32.0	FJK	FJK
4430	32.0	24.0	FJK	FJK
3689	33.0	3229.0	H	H
3739	33.0	3229.0	H	H
4089	33.0	24.0	F	F
4239	33.0	33.0	F	F
3171	34.0	34.0	F	F
3257	34.0	25.0	N	N
3775	34.0	34.0	FJK	FJK
3191	35.0	35.0	FJK	FJK
3772	35.0	24.0	FJK	FJK
3833	35.0	17.0	FJK	FJK
4173	35.0	57.0	F	F
4240	35.0	35.0	F	F
4260	35.0	23.0	F	F
4324	35.0	30.0	FJ	FJ
4618	35.0	35.0	FJK	FJK
3431	36.0	36.0	FJ	FJ
3539	36.0	151.0	F	F
3759	36.0	40.0	FJK	FJK
3823	36.0	36.0	FJK	FJK
3851	36.0	30.0	FJK	FJK
4307	36.0	36.0	FJK	FJK
4311	36.0	36.0	FJK	FJK
3514	37.0	212.0	F	F
4442	37.0	25.0	FJK	FJK
3023	38.0	26.0	FJ	FJ
4169	38.0	38.0	F	F
4525	38.0	39.0	FJK	FJK
4573	38.0	29.0	FJ	FJ
3870	39.0	83.0	FJK	FJK
4078	39.0	39.0	F	F
4366	39.0	31.0	FJK	FJK
3071	40.0	80.0	FJK	FJK
3220	40.0	70.0	FJK	FJK
3320	40.0	42.0	FJK	FJK
3375	40.0	18.0	FJK	FJK
3387	40.0	50.0	FJK	FJK
3467	40.0	65.0	FJK	FJK
3512	40.0	224.0	F	F
3652	40.0	329.0	F	F
3937	40.0	34.0	FJK	FJK
4362	40.0	32.0	F	F
4420	40.0	33.0	FJ	FJ
4319	41.0	43.0	F	F
3018	42.0	42.0	FJK	FJK
3097	42.0	36.0	FJK	FJK
3298	42.0	42.0	N	N
3449	42.0	42.0	FJK	FJK
3830	42.0	82.0	FJK	FJK
4140	42.0	26.0	F	F
4192	42.0	24.0	F	F
4234	42.0	42.0	F	F
4358	42.0	42.0	FK	FK
4183	43.0	43.0	F	F
3086	44.0	44.0	FJK	FJK
3107	44.0	32.0	FJK	FJK
3393	44.0	21.0	FJK	FJK
3959	44.0	50.0	FJK	FJK
4060	44.0	35.0	F	F
4516	44.0	36.0	FJK	FJK
3162	45.0	33.0	FJK	FJK
3275	45.0	267.0	FJ	FJ
4397	45.0	45.0	FJK	FJK
